busy_spin,hepnos_num_event_databases,hepnos_num_product_databases,hepnos_num_providers,hepnos_num_rpc_threads,hepnos_pes_per_node,hepnos_pool_type,hepnos_progress_thread,loader_batch_size,loader_pes_per_node,loader_progress_thread,pep_ibatch_size,pep_num_threads,pep_obatch_size,pep_pes_per_node,pep_progress_thread,job_id,objective,timestamp_submit,timestamp_gather,timestamp_start,timestamp_end,dequed
True,1,1,32,60,8,fifo_wait,False,2041,16,True,502,6,21,32,True,12,-2.533139040516635,15.046101570129395,82.01625156402588,17.55721664428711,82.01378512382507,"588,589,590,591"
True,1,1,31,27,8,fifo_wait,False,1503,16,True,16,12,128,16,True,1,-2.8272092323461178,15.045719385147095,83.2992799282074,15.106821060180664,83.29790663719177,"322,323,324,325"
True,14,1,9,0,4,fifo_wait,False,2041,16,True,87,6,54,4,True,11,-2.7997839198886316,15.046070337295532,83.73142862319946,17.522121906280518,83.51268792152405,"584,585,586,587"
True,1,1,22,36,8,fifo_wait,True,2030,16,True,18,10,61,8,True,2,-2.8389830148174764,15.045775413513184,83.73147296905518,15.111940860748291,83.36699104309082,"326,327,328,329"
True,16,1,32,37,8,fifo_wait,True,2038,16,True,10,13,47,16,True,3,-2.876140406349702,15.045809268951416,84.139315366745,15.106902837753296,84.13826560974121,"330,331,332,333"
True,1,1,16,28,8,fifo_wait,False,1950,16,True,11,1,136,2,True,9,-2.87552914665895,15.045993328094482,86.04494428634644,17.49721336364746,86.04356813430786,"453,459,470,516"
True,1,1,15,35,8,fifo_wait,True,2048,16,True,479,6,189,8,True,30,-2.5993891266146463,15.046664237976074,86.4448013305664,23.992562294006348,86.43155884742737,"4487,4488,4489,4496"
True,14,1,22,35,8,fifo_wait,True,2036,16,True,64,5,243,8,True,28,-2.511215601542609,15.046603202819824,86.44485020637512,22.763352632522583,86.24411296844482,"4450,4451,4452,4453"
True,1,1,32,17,8,fifo,False,1087,16,True,232,3,9,4,True,26,-2.831523743346707,15.046543598175049,89.15396666526794,22.60042643547058,89.15254187583923,"4414,4415,4417,4435"
True,1,1,1,16,8,fifo_wait,True,2027,16,True,87,16,51,32,False,13,-2.909559329137624,15.046132326126099,91.27066397666931,18.66838240623474,91.26927208900452,"592,593,594,595"
True,1,1,32,13,8,fifo_wait,False,1103,16,True,53,16,22,16,False,6,-3.0970041833643,15.045902252197266,93.0234887599945,16.332510232925415,91.3174877166748,"440,441,442,443"
True,1,1,7,33,8,fifo_wait,True,2024,16,True,9,19,50,32,False,23,-3.131547135127873,15.04645323753357,98.49871587753296,21.28404450416565,98.49737501144409,"4285,4300,4301,4304"
True,1,1,32,33,8,fifo,False,2022,16,True,49,7,66,16,False,22,-3.2285315777487336,15.04642367362976,100.26225280761719,21.215151071548462,98.53894710540771,"4265,4266,4267,4281"
True,15,1,9,31,8,fifo_wait,False,1044,16,True,51,24,11,16,False,19,-3.301526467091775,15.046317338943481,102.07804799079895,20.03473925590515,101.3157274723053,"658,660,661,666"
True,15,1,6,37,8,fifo_wait,True,2028,16,True,14,21,689,32,False,16,-3.307114662982489,15.046224117279053,102.07809042930603,18.867934703826904,101.17027544975281,"644,645,647,649"
True,9,1,21,24,8,fifo_wait,True,1558,16,True,899,14,161,8,False,20,-3.32408041829602,15.046363115310669,102.07810401916504,20.034497022628784,100.4491319656372,"700,701,702,703"
True,1,1,31,29,8,fifo_wait,False,2025,16,True,23,25,850,16,False,15,-3.628440275021747,15.046193361282349,110.83151030540466,18.753405809402466,110.83022141456604,"640,641,642,643"
True,1,1,32,0,8,fifo,False,1567,16,True,59,22,23,8,True,27,-3.732737428481171,15.046573638916016,115.3294141292572,22.645076036453247,115.32793474197388,"4436,4442,4448,4449"
True,1,1,32,45,8,fifo_wait,False,1961,16,True,130,10,55,4,False,10,-4.098612508829121,15.046023607254028,129.95124912261963,17.51102352142334,129.94992518424988,"580,581,582,583"
False,1,1,32,60,8,fifo_wait,True,2030,16,True,373,21,86,4,False,29,-3.9992026742393927,15.046633958816528,132.20164251327515,23.904207944869995,131.33370900154114,"4480,4481,4482,4483"
True,1,1,5,46,8,fifo_wait,False,791,16,True,12,28,922,16,True,24,-4.188088771602518,15.046483039855957,138.4812364578247,21.37342667579651,138.47984313964844,"4322,4323,4324,4325"
True,1,1,32,21,8,fifo,False,1363,16,True,107,2,206,16,False,31,-4.33344733603592,15.046694040298462,150.98625373840332,23.994920253753662,150.98491382598877,"4536,4570,4574,4575"
True,1,1,32,0,8,fifo,False,2040,16,True,962,14,27,16,True,33,-2.97225017437829,82.41877865791321,153.10761141777039,82.4212749004364,152.1447560787201,"588,589,590,591"
True,1,1,19,36,8,fifo_wait,True,2005,16,True,417,26,43,4,True,32,-4.384246993802721,15.04672384262085,155.12034940719604,24.153040647506714,154.77452516555786,"4577,4581,4582,4583"
True,1,1,31,1,8,fifo,False,2048,16,True,658,30,337,8,False,14,-4.399273093005953,15.046162843704224,155.12038683891296,18.75264549255371,154.68626022338867,"596,597,598,599"
True,1,1,32,63,8,fifo_wait,False,1038,16,True,148,4,117,32,True,42,-2.4344267838566034,93.02208280563354,158.6066119670868,94.34294557571411,156.2749137878418,"592,593,594,595"
True,1,1,31,26,8,fifo_wait,False,1419,16,True,106,21,24,2,False,5,-4.520612929420187,15.045871257781982,160.88239312171936,16.33642029762268,160.64464235305786,"338,339,410,418"
True,1,1,32,42,8,fifo_wait,False,1283,16,True,225,5,50,16,False,36,-3.2900445728895438,84.13319778442383,163.23806524276733,84.13595056533813,161.21195530891418,"584,585,586,587"
True,1,1,32,63,8,fifo_wait,False,638,16,True,144,2,11,4,True,44,-2.694246982958229,100.2602219581604,166.35938358306885,101.69466805458069,166.3578381538391,"4285,4300,4301,4304"
True,1,1,3,24,8,fifo_wait,False,1396,16,True,35,26,529,2,True,4,-4.69188024543611,15.04584002494812,175.2878623008728,15.106818675994873,175.28652381896973,"334,335,336,337"
True,1,1,30,4,8,fifo_wait,False,1439,16,True,111,22,134,32,True,41,-3.59360663684805,89.54382252693176,177.78629446029663,89.54638957977295,177.63371014595032,"4414,4415,4417,4435"
False,13,1,1,56,16,fifo_wait,True,2027,16,True,219,7,305,4,True,48,-2.973537269888031,106.37059569358826,177.78633952140808,107.61270427703857,175.9642596244812,"658,660,661,666"
False,16,1,32,26,2,fifo_wait,True,2048,16,True,8,1,1024,32,True,49,-2.868764046290497,112.97856974601746,182.16458821296692,114.27154660224915,180.93952012062073,"640,641,642,643"
True,16,1,32,63,8,fifo_wait,False,1071,16,True,149,11,8,32,True,43,-3.46775411759292,94.92495083808899,182.1646282672882,96.28481101989746,179.6055784225464,"440,441,442,443"
False,16,1,1,41,2,fifo_wait,True,2048,16,False,19,1,1024,32,True,50,-2.7025177838688936,117.6186351776123,186.5640904903412,118.95781302452087,183.4507110118866,"4436,4442,4448,4449"
True,1,1,23,34,2,fifo_wait,True,2048,16,True,663,18,22,4,False,37,-3.971372648789243,84.75210499763489,190.54692029953003,84.75487613677979,188.65050053596497,"330,331,332,333"
False,1,1,32,10,2,fifo_wait,True,2048,16,True,21,11,45,4,False,38,-4.009180096119497,86.44350719451904,193.66483902931213,86.44584822654724,191.89588809013367,"453,459,470,516"
